Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
perSquareGigaElectronvolt	Per Square Giga ElectronVolt	Inverse square energy	GeV^-2	http://qudt.org/vocab/unit#PerSquareGigaElectronVolt	NA	gev2
hertzPerKelvin	Hertz per Kelvin	Inverse time temperature	Hz K^-1	http://qudt.org/vocab/unit#HertzPerKelvin	NA	hzk1
megahertzPerKelvin	Megahertz per Kelvin	Inverse time temperature	MHz K^-1	http://qudt.org/vocab/unit#MegaHertzPerKelvin	NA	mhzk1
perCubicMeter	Per Cubic Meter	Inverse volume	/m^3	http://qudt.org/vocab/unit#PerCubicMeter	NA	pm3
perLiter	Per Liter	Inverse volume	1/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	1pl
meterPerSecondCubed	Meter per Second Cubed	Jerk	m/s^3		NA	mps3
angstrom	Angstrom	Length	Ao	http://qudt.org/vocab/unit#Angstrom	NA	ao
arpentlin	Arpentlin	Length		http://www.unidata.ucar.edu/software/udunits/	NA	
astronomicalUnit	Astronomical Unit	Length	AU	http://qudt.org/vocab/unit#AstronomicalUnit; http://unitsofmeasure.org/ucum.html#para-31	NA	au
barleycorn	Barleycorn	Length		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
bigPoint	Big Point	Length		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
centimeter	Centimeter	Length	cm	http://qudt.org/vocab/unit#Centimeter	1	cm
charrièreFrench	Charrière French	Length	Ch	http://unitsofmeasure.org/ucum.html#para-44	NA	ch
cicero	Cicero	Length	cicero	http://unitsofmeasure.org/ucum.html#para-42	NA	cicero
decimeter	Decimeter	Length	decimeter	http://qudt.org/vocab/unit#Decimeter	NA	decimeter
didot	Didot	Length	didot	http://unitsofmeasure.org/ucum.html#para-42	NA	didot
fathom	Fathom	Length	fth_i	http://qudt.org/vocab/unit#Fathom; http://unitsofmeasure.org/ucum.html#para-34	NA	fthi
fathom,British	Fathom, British	Length	fth_br	http://unitsofmeasure.org/ucum.html#para-36	NA	fthbr
fathom,UsSurvey	Fathom, US Survey	Length	fth_us	http://unitsofmeasure.org/ucum.html#para-35	NA	fthus
femtometer	Femtometer	Length	fm	http://qudt.org/vocab/unit#Femtometer	NA	fm
fermi	Fermi	Length	fm	http://qudt.org/vocab/unit#Fermi	NA	fm
foot	Foot	Length	ft_i	http://qudt.org/vocab/unit#Foot; http://unitsofmeasure.org/ucum.html#para-34; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html	1	fti
foot,British	Foot, British	Length	ft_br	http://unitsofmeasure.org/ucum.html#para-36	NA	ftbr
foot,UsSurvey	Foot, US Survey 	Length	ft_us	http://unitsofmeasure.org/ucum.html#para-35; http://qudt.org/vocab/unit#FootUSSurvey; http://www.unidata.ucar.edu/software/udunits/	NA	ftus
furlong,UsSurvey	Furlong, US Survey	Length	fur_us	http://qudt.org/vocab/unit#Furlong; http://unitsofmeasure.org/ucum.html#para-35	NA	furus
gunter'SChain,British	Gunter's Chain, British	Length	ch_br	http://unitsofmeasure.org/ucum.html#para-36	NA	chbr
gunter'SChain,UsSurveyor'SChain	Gunter's Chain, US Surveyor's Chain	Length	ch_us	http://unitsofmeasure.org/ucum.html#para-35; http://qudt.org/vocab/unit#Chain	NA	chus
hand	Hand	Length	hd_i	http://unitsofmeasure.org/ucum.html#para-34	NA	hdi
inch	Inch	Length	in_i	http://qudt.org/vocab/unit#Inch; http://unitsofmeasure.org/ucum.html#para-34; http://qwwebservices.usgs.gov/service-domains.html	1	ini
inch,British	Inch, British	Length	in_br	http://unitsofmeasure.org/ucum.html#para-36	NA	inbr
inch,UsSurvey	Inch, US Survey	Length	in_us	http://unitsofmeasure.org/ucum.html#para-35	NA	inus
kilometer	Kilometer	Length	km	http://qudt.org/vocab/unit#Kilometer	1	km
lightYear	Light Year	Length	ly	http://qudt.org/vocab/unit#LightYear; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-32	NA	ly
ligne	Ligne	Length	ligne	http://unitsofmeasure.org/ucum.html#para-42	NA	ligne
line	Line	Length	lne	http://unitsofmeasure.org/ucum.html#para-42	NA	lne
linkForGunter'SChain,British	Link for Gunter's Chain, British	Length	lk_br	http://unitsofmeasure.org/ucum.html#para-36	NA	lkbr
linkForGunter'SChain,UsSurvey	Link for Gunter's Chain, US Survey	Length	lk_us	http://unitsofmeasure.org/ucum.html#para-35	NA	lkus
linkForRamden'SChain	Link for Ramden's Chain	Length	rlk_us	http://unitsofmeasure.org/ucum.html#para-35	NA	rlkus
meter	Meter	Length	m	http://qudt.org/vocab/unit#Meter; mhttp://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html	1	m
microinch	Microinch	Length	in^-6	http://qudt.org/vocab/unit#MicroInch	NA	in6
micrometer	Micrometer	Length	µm	http://qudt.org/vocab/unit#Micrometer	NA	µm
micron	Micron	Length	um	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/	NA	um
mil	Mil	Length	mil_i	http://unitsofmeasure.org/ucum.html#para-34; http://qudt.org/vocab/unit#MilLength; http://www.unidata.ucar.edu/software/udunits/	NA	mili
mil,UsSurvey	Mil, US Survey	Length	mil_us	http://unitsofmeasure.org/ucum.html#para-35	NA	milus
mile	Mile	Length	mi_i	http://qudt.org/vocab/unit#MileInternational; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/	NA	mii
mile,British	Mile, British	Length	mi_br	http://unitsofmeasure.org/ucum.html#para-36	NA	mibr
mile,UsSurvey	Mile, US Survey 	Length	mi_us	http://qudt.org/vocab/unit#MileUSStatute; http://unitsofmeasure.org/ucum.html#para-35	NA	mius
millimeter	Millimeter	Length	mm	http://qudt.org/vocab/unit#Millimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	mm
nanometer	Nanometer	Length	nm		NA	nm
nauticalMile	Nautical Mile	Length	nmi_i	http://qudt.org/vocab/unit#NauticalMile; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/	NA	nmii
nauticalMile,British	Nautical Mile, British	Length	nmi_br	http://unitsofmeasure.org/ucum.html#para-36	NA	nmibr
pace	Pace	Length	pc_br	http://unitsofmeasure.org/ucum.html#para-36	NA	pcbr
parsec	Parsec	Length	pc	http://qudt.org/vocab/unit#Parsec; http://unitsofmeasure.org/ucum.html#para-31; http://www.unidata.ucar.edu/software/udunits/	NA	pc
perch	Perch	Length		http://www.unidata.ucar.edu/software/udunits/	NA	
pica	Pica	Length	pca	http://qudt.org/vocab/unit#Pica; http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/	NA	pca
